Manufact,NSpeeds,SmallCog,LargeCog,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51
campagnolo,10,11,23,NA,NA,11,12,13,14,15,16,17,NA,19,NA,21,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,11,25,NA,NA,11,12,13,14,15,NA,17,NA,19,NA,21,NA,23,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,12,23,NA,NA,NA,12,13,14,15,16,17,18,19,NA,21,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,12,25,NA,NA,NA,12,13,14,15,16,17,NA,19,NA,21,NA,23,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,12,27,NA,NA,NA,12,13,14,15,NA,17,NA,19,NA,21,NA,23,NA,25,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,12,30,NA,NA,NA,12,13,14,15,NA,17,NA,19,NA,21,NA,NA,24,NA,NA,27,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,13,26,NA,NA,NA,NA,13,14,15,16,17,18,19,NA,21,NA,23,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,13,29,NA,NA,NA,NA,13,14,15,16,17,NA,19,NA,21,NA,23,NA,NA,26,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,10,14,23,NA,NA,NA,NA,NA,14,15,16,17,18,19,20,21,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,11,11,23,NA,NA,11,12,13,14,15,16,17,18,19,NA,21,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,11,11,25,NA,NA,11,12,13,14,15,16,17,NA,19,NA,21,NA,23,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,11,11,27,NA,NA,11,12,13,14,15,NA,17,NA,19,NA,21,NA,23,NA,25,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,11,11,29,NA,NA,11,12,13,14,15,NA,17,NA,19,NA,21,NA,23,NA,NA,26,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campagnolo,11,12,25,NA,NA,NA,12,13,14,15,16,17,18,19,NA,21,NA,23,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
